Course date,Year,Quarter,Member,Course code,Course ID,EventbriteID,Status,Registered,Attended,Delivery,Training days,Capacity,Course Type,Day2,Tool,Month,Day,Primary_Trainer,Assistant_Trainer,Unique_ID
15/9/2020,2020,3,ACU,QLTRICS101,20200915T1000_ACU_QLTRICS101,118117822587,Processed,13,10,Online,0.5,13,,,Qualtrics,9,Tue,AW,SL,44089_ACU_QLTRICS101
15/9/2020,2020,3,UON,REDCAP101,20200915T0930_UON_REDCAP101,118240585775,Processed,17,17,Online,0.5,17,,,REDCap,9,Tue,SG,,44089_UON_REDCAP101
16/9/2020,2020,3,UNE,R101,20200916T0930_UNE_R101,118880646213,Processed,19,14,Online,1,19,,,R,9,Wed,NB,PR,44090_UNE_R101
17/9/2020,2020,3,USYD,PYTHON101,20200917T0930_USYD_PYTHON101,116854140881,Processed,25,21,Online,1,25,,,Python,9,Thu,CF,JZ,44091_USYD_PYTHON101
17/9/2020,2020,3,UON,NVIVO101,20200917T1100_UON_NVIVO101,118240613859,Processed,19,17,Online,0.5,19,,,NVivo,9,Thu,SG,NW,44091_UON_NVIVO101
18/9/2020,2020,3,WSU,RDMT001,20200918T0930_WSU_RDMT001,113729173018,Processed,22,13,Online,0.5,22,,,RDMT,9,Fri,XW,,44092_WSU_RDMT001
22/9/2020,2020,3,UNSW,R203,20200922T0930_UNSW_R203,110568152320,Processed,22,15,Online,1,22,,,R,9,Tue,KT,GLC,44096_UNSW_R203
22/9/2020,2020,3,UON,NVIVO101,20200922T1330_UON_NVIVO101,119028801349,Processed,15,14,Online,0.5,15,,,NVivo,9,Tue,SG,,44096_UON_NVIVO101
23/9/2020,2020,3,UC,R203,20200923T0930_UC_R203,110572711958,Processed,18,13,Online,1,18,,,R,9,Wed,CF,MR,44097_UC_R203
23/9/2020,2020,3,WSU,REDCAP101,20200923T0930_WSU_REDCAP101,118403444891,Processed,18,14,Online,0.5,18,,,REDCap,9,Wed,XW,,44097_WSU_REDCAP101
24/9/2020,2020,3,USYD,R203,20200924T0930_USYD_R203,116854251211,Processed,35,32,Online,1,35,,,R,9,Thu,KT,"JZ, AP",44098_USYD_R203
24/9/2020,2020,3,UC,PYTHON203,20200924T0930_UC_PYTHON203,110573249566,Processed,14,10,Online,1,14,,,Python,9,Thu,MR,CF,44098_UC_PYTHON203
1/10/2020,2020,4,USYD,EXCEL101,20201001T0930_USYD_EXCEL101,120333818691,Processed,26,17,Online,1,26,,,Excel,10,Thu,CF,JZ,44105_USYD_EXCEL101
1/10/2020,2020,4,UNSW,JULIA101,20201001T0930_UNSW_JULIA101,119551258031,Processed,23,15,Online,1,23,,,Julia,10,Thu,MR,"KT,AP",44105_UNSW_JULIA101
